breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Azawakh,"Anjing pemburu purba ini sangat ramping dan kurus sehingga struktur tulang dan ototnya terlihat jelas di bawah kulitnya. Kontur halus berbentuk S, dada dalam, dan kepala aerodinamis menandai Azwakh sebagai anggota keluarga sighthound, anjing pelari cepat yang mengandalkan penglihatan tajam dan kecepatan tinggi untuk menentukan dan mengarahkan mangsanya. Lapisan ultrafine hadir dalam beberapa warna dan pola. Tampilan keseluruhan anjing berkaki panjang ini elegan dan halus, tapi jangan tertipu: Ini adalah pemburu tangguh dan tahan lama yang telah mengejar kijang melintasi pasir Sahara yang terik selama lebih dari seribu tahun. Tinggi dan anggun, Azawakh adalah anjing pemburu Afrika Barat yang berasal dari negara Burkina Faso, Mali, dan Niger. Suku Azawakh memiliki bulu yang pendek dan halus yang dapat memiliki berbagai warna atau kombinasi warna: merah, pasir bening hingga coklat kekuningan, belang-belang, sebagian warna (yang mungkin sebagian besar berwarna putih), biru, hitam dan coklat. Kepalanya mungkin memiliki topeng hitam dan mungkin ada tanda putih di kaki, dada, dan di ujung ekor. Tidak ada diskualifikasi warna atau tanda pada ras ini. Sesuai dengan warisan leluhurnya, suku Azawakh unggul sebagai pendamping, penjaga, dan pemandu wisata di Amerika Serikat.","Setia, Mandiri, Sangat Penyayang",of,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,Hound Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.6,Latihan rutin,0.4,Mandiri,0.8,Ramah
Barbet,"Ciri khas dari anjing burung pedesaan berukuran sedang ini adalah bulu keriting lebat yang menutupi dirinya dari atas kepalanya yang besar dan lebar hingga ujung ekornya yang melengkung. Bulunya berwarna hitam, abu-abu, coklat, atau coklat kekuningan, terkadang dengan corak putih. Bulu trahnya yang berbulu lebat dan sifatnya yang ramah menciptakan kesan seekor Muppet menjadi hidup, tetapi Barbet adalah anjing yang kuat dan kekar yang dibiakkan selama berabad-abad untuk menjadi pemburu yang rajin dan perenang yang tak kenal lelah. Barbets sangat cerdas dan mempelajari hal-hal baru dengan cepat. Mereka mempunyai sifat tenang dan mudah dijalani asalkan kebutuhan olah raganya terpenuhi. Anjing air yang merupakan pola dasar Perancis, Barbet adalah ras pedesaan berukuran sedang dan proporsi seimbang yang muncul dalam karya seni sejak abad ke-16. Secara profil, Barbet berbentuk agak persegi panjang dengan kepala besar dan ekor panjang dan menyapu. Dia memiliki rambut keriting yang panjang dan lebat serta janggut yang khas. Sebagai atlet yang lincah, Barbet telah digunakan terutama untuk mencari, menyiram, dan mengambil burung. Dia memiliki watak ceria dan sangat sosial serta setia.","Ramah, Cerah, Manis Hati",of,48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,Sporting Group,0.4,Menyikat Gigi Mingguan,0.2,Jarang,0.6,Latihan rutin,0.6,Menyenangkan,0.8,Ramah
Basenji,"Basenji adalah anjing kecil dan anggun yang berdiri setinggi 16 atau 17 inci di bahu. Mereka dapat dikenali dari mantel pendeknya yang berkilau, ekornya yang melengkung rapat, dan dahi yang berkerut, serta matanya yang ekspresif berbentuk almond yang menyampaikan beragam emosi yang halus dan mirip manusia. Basenji adalah pemandangan yang indah saat terhenti, namun lebih mengesankan saat berlari cepat, ketika mereka memperlihatkan langkah panjang dan mulus seperti kuda pacuan mini. Dan ya, memang benar, mereka tidak menggonggong, tetapi mereka mengungkapkan perasaan mereka dengan suara aneh yang digambarkan sebagai sesuatu antara terkekeh dan bernyanyi yodel. Basenji sangat cerewet dan akan merawat dirinya sendiri seperti kucing. Hewan ini disebut sebagai “trah pemujaan”—jumlahnya kecil, namun mereka yang cukup beruntung memilikinya melakukannya dengan pengabdian yang luar biasa. Basenji, “Anjing Tanpa Kulit” di Afrika, adalah pemburu yang kompak dan berwajah manis, cerdas dan tenang. Mereka adalah hewan peliharaan yang unik dan menawan, paling cocok untuk pemilik yang dapat memenuhi kebutuhan olahraga mereka dan tantangan dalam melatih anjing mirip kucing ini.","Mandiri, Cerdas, Tenang",87,40.64,43.18,9.97903214,10.88621688,13.0,14.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Basset Fauve de Bretagne,"Basset Fauve de Bretagne, juga dikenal sebagai Fawn Colored Brittany Basset, adalah anjing tangguh kecil, kekar, dan berbulu kasar yang energik dan cepat untuk ukurannya. Fauve rukun dengan anak-anak dan hewan peliharaan lainnya. Pelatihan dan sosialisasi adalah suatu keharusan atau Fauves bisa berbuat nakal. Namun, bukan penggonggong pengganggu, Anda akan tahu jika ada kelinci yang berlari melewati halaman, karena mereka kemudian memberikan ""suara"" dan mengejar anjing tersebut. Trah ini senang bermain-main di lapangan saat ia meringkuk di samping keluarganya di sofa. Cerdas, berani, dan tekun, Basset Fauve de Bretagne adalah pemburu yang serius, mudah beradaptasi dengan berbagai jenis permainan dan medan. Ia juga merupakan anjing pendamping yang sangat baik, ceria, cerdas, dan bersemangat untuk menyenangkan.","Cerdas, Ceria, Bertekad",,31.75,39.37,12.24699399,15.875732950000002,12.0,12.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.6,Latihan rutin,0.2,Mungkin keras kepala,1.0,Keluar
Basset Hound,"Basset Hound tingginya tidak lebih dari 14 inci di bahunya, tetapi, dengan tulangnya yang sangat berat, kaki kecil yang kuat, dan cakar yang besar, dia memiliki kekuatan dan stamina yang besar. Basset terkenal dengan kepalanya yang besar dan berbentuk kubah yang memiliki telinga yang sangat panjang dan lembut, mata yang sedih, dan alis yang berkerut, yang membuat trah ini terlihat seperti badut yang sedih. Dibangun lebih untuk ketahanan daripada kecepatan, Basset bergerak dengan sengaja namun tanpa usaha. Kemampuan mengharukan ras ini luar biasa; Dikatakan bahwa di antara anjing, hanya hidung Bloodhound yang lebih akurat. Ringan dan menyenangkan di rumah, Basset keras kepala di jalan dan menggonggong dengan suara yang keras dan nyaring. Meskipun mereka mungkin tidak terlalu demonstratif dalam menunjukkan kasih sayang mereka, mereka tetap setia. Di antara ras AKC yang paling menarik, Basset Hound yang menawan dan langsung dikenali adalah favorit abadi para pecinta anjing di seluruh dunia. Anjing yang rendah hati dan rendah hati ini terkadang keras kepala, tetapi selalu menawan.","Menarik, Sabar, Rendah Hati",39,38.1,38.1,18.1436948,29.48350405,12.0,13.0,Hound Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.4,Sesekali,0.2,Pemalas,0.4,Mandiri,0.8,Ramah
Bavarian Mountain Scent Hound,"Berasal dari Jerman, Bavarian Mountain Scent Hound adalah Bayerischer Gebirgsschweisshund dalam bahasa aslinya, Jerman. Ciri yang paling menonjol dari ras ini adalah kemampuan melacak “hidung dingin” yang luar biasa. Hidungnya sangat tajam, ia dapat membedakan antara hewan buruan yang diburunya dan hewan lain dari spesies yang sama. Trah yang agak ringan, aktif, dan berukuran sedang ini dikhususkan untuk pemiliknya, tetapi dapat dilindungi undang-undang dengan orang asing. Dia bukan anjing kandang dan lebih suka berada di dekat keluarga manusianya. Anjing Bavarian Mountain Scent Hound tenang dan seimbang, mengabdi kepada pemiliknya, dan pendiam terhadap orang asing. Dia adalah anjing yang sehat, percaya diri, tidak takut, dapat ditawar, tidak pemalu atau agresif.","Setia, Serbaguna, Pendiam dengan Orang Asing",,43.18,52.07,16.78291769,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.8,Secara teratur,0.6,Latihan rutin,0.6,Menyenangkan,0.4,Dicadangkan dengan Orang Asing
Beagle,"Ada dua jenis Beagle: yang tingginya di bawah 13 inci di bahu, dan yang berukuran antara 13 dan 15 inci. Kedua varietas ini kokoh, kokoh, dan “besar untuk incinya”, seperti yang dikatakan orang-orang anjing. Mereka hadir dalam warna-warna yang menyenangkan seperti lemon, merah dan putih, dan tiga warna. Keberuntungan Beagle terletak pada wajahnya yang menggemaskan, dengan mata cokelat atau cokelatnya yang besar dan dilengkapi dengan telinga panjang seperti anjing yang terletak rendah di atas kepala yang lebar. Ras yang digambarkan sebagai “ceria” oleh para peternaknya, Beagle penyayang dan menyenangkan, bahagia, dan ramah—semua kualitas yang menjadikan mereka anjing keluarga yang luar biasa. Tidak mengherankan jika selama bertahun-tahun Beagle menjadi anjing pemburu paling populer di kalangan pemilik hewan peliharaan Amerika. Ini adalah anjing yang penuh rasa ingin tahu, pintar, dan energik yang membutuhkan banyak waktu bermain. Beagle tidak hanya merupakan anjing pemburu yang hebat dan teman setia, ia juga merupakan anjing yang suka bersenang-senang, lucu, dan—berkat ekspresinya yang memohon—imut. Mereka dibiakkan untuk berburu secara berkelompok, sehingga mereka senang ditemani dan umumnya santai.","Ramah, Penasaran, Selamat",6,33.02,38.1,5.8967008100000005,13.6077711,10.0,15.0,Hound Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.8,Energik,0.6,Menyenangkan,0.8,Ramah
Bearded Collie,"Berdiri setinggi 20 hingga 22 inci di bahu dan menutupi kepala hingga ekor dengan mantel ganda berbulu lebat, Beardies memiliki kemiripan dengan favorit Inggris lainnya, Anjing Gembala Inggris Kuno. Di bawah mantel, Beardies lebih ramping dan bersudut dari keduanya. Rambut wajah yang lebat seharusnya tidak mengaburkan ekspresi khasnya: tatapan yang melamun dan jauh. Komik-komik yang cerewet ini mungkin hanya segelintir—tetapi sebagian besar, Beardies berisi sekitar 50 pon hati, energi, dan tawa. Beardies yang bersosialisasi dengan baik akan rukun dengan hewan dan anak-anak lain. Mereka mudah bosan, dan pelatihan harus tetap menarik. Keluarga yang suka beraktivitas di luar ruangan yang mencari anjing kokoh untuk berbagi gaya hidup uptempo tidak akan pernah menemukan sahabat karib yang lebih penuh kasih sayang dan lucu. Seekor anjing pengembara yang riuh dan karismatik dari Skotlandia, Bearded Collie yang berbulu lebat (“Beardie” untuk teman-temannya) menikmati olahraga di luar ruangan dalam segala cuaca. Dibesarkan untuk menjadi pengambil keputusan yang independen, mereka bisa berkemauan keras namun selalu ramah.","Cerdas, Goyang, Karismatik",127,50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,Herding Group,0.8,Menyikat Setiap Hari,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,1.0,Keluar
Beauceron,"Beauceron berotot, kasar, dan besar, berdiri setinggi 27,5 inci di bahu, namun anggun dan seimbang dalam segala hal. Mantel hitam gelap mereka menampilkan aksen merah tupai yang menawan, termasuk kaki merah yang memberi julukan Prancis pada ras ini Bas-Rouge (“stoking merah”). Mereka juga terlihat mengenakan mantel hitam abu-abu. Kepala panjangnya dipahat dengan baik, dan mata coklat tua menunjukkan ekspresi yang digambarkan oleh para peternak sebagai jujur ​​dan percaya diri. Ini bukan untuk pemilik pemula, yang mungkin akan dimiliki oleh anjing dominannya, bukan sebaliknya. Meskipun demikian, Beauceron yang terlatih dan tersosialisasi adalah anjing penjaga dan penjaga yang berkepala dingin, terutama baik terhadap kaum muda, kecil, dan tidak berdaya. Beauceron mengesankan dan kuat, tetapi juga sangat cerdas, bersemangat, dan penggembala yang serba bisa—bayangkan otak Border Collie dalam tubuh seberat 100 pon. Mereka sangat dicintai oleh wanita sebagai pendamping dan pelindung yang gagah namun sensitif.","Lembut, Setia, Taat",124,60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,1.0,Sering,1.0,Membutuhkan Banyak Aktivitas,0.8,Pelatihan Mudah,0.4,Dicadangkan dengan Orang Asing
Bedlington Terrier,"Bedlingtons adalah orang Inggris yang lincah dan energik. Mantel yang renyah dan keriting; melengkung ke belakang; telinga berumbai; ekor berbentuk pedang; dan kepala berbulu halus berbentuk buah pir menjadi ciri khas dari ras yang unik ini. Seperti yang ditunjukkan oleh kontur melengkung, ada anjing pemburu—Whippet, kemungkinan besar—di silsilah keluarga mereka. Bedlington bergerak dengan langkah yang ringan dan kenyal, dan jika dibangunkan untuk mengejar, ia dapat berlari seperti angin. Bergulir, menawan, dan penuh kegembiraan, Bedlington ingin menjadi pusat perhatian keluarganya dan dikenal sebagai pelindung terhadap orang yang dicintai. Untuk keluarga aktif yang mencari teman setia, bersemangat, dan setia, pencarian mungkin berakhir di sini. Anjing terrier anggun berbulu domba, Bedlington Terrier, yang diberi nama sesuai dengan wilayah pertambangan Inggris tempat mereka pertama kali dibesarkan, adalah teman serumah yang ramah, pengawas yang waspada, atlet serba bisa, dan teman menonton TV yang sangat menggemaskan.","Setia, menawan, suka bermain-main",141,38.1,44.45,7.71107029,10.43262451,11.0,16.0,Terrier Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,,nan,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Belgian Laekenois,"Dari empat penggembala Belgia yang berkerabat dekat—Anjing Gembala Belgia, Malinois, Tervuren, dan Laekenois—Laekenois adalah yang paling langka. Anjing yang kuat dan kokoh ini dibedakan dari saudara-saudaranya dengan bulunya yang kasar dan acak-acakan dengan warna merah atau coklat kekuningan atau warna keabu-abuan. Warna hitam di sekitar moncongnya menunjukkan ekspresi kewaspadaan yang tajam yang terpancar dari mata gelap berbentuk almond. Laekenois Belgia melindungi tuan dan harta bendanya. Meski jeli terhadap orang asing, ras ini penuh kasih sayang dan bersahabat dengan orang yang dikenalnya dengan baik. Bulu Laekenois perlu disikat secara teratur dan dimandikan sesekali, dan sebagai anjing pekerja, ia perlu berolahraga setiap hari. Kuat, lincah, dan penuh kehidupan, Laekenois Belgia (diucapkan ""Lak-in-wah"") adalah salah satu dari empat anjing asli Belgia. Meskipun tubuh dan temperamennya mirip dengan Malinois, Shepherd, dan Tervuren, Laekenois berbeda dalam warna bulu, tekstur dan panjang, serta daerah asal.","Penyayang, Waspada, Cerdas",,55.88,66.04,24.947580350000003,29.48350405,10.0,12.0,Miscellaneous Class,0.4,Menyikat Gigi Mingguan,0.8,Secara teratur,0.8,Energik,0.8,Pelatihan Mudah,0.4,Dicadangkan dengan Orang Asing
Belgian Malinois,"Malinois Belgia adalah penggembala yang bertubuh tegap, bangga, dan waspada dengan tinggi 22 hingga 26 inci. Kuat dan berotot, tetapi lebih anggun daripada besar, mereka terlihat jujur ​​​​dan tanpa embel-embel, sebagaimana layaknya anjing yang dirancang untuk bekerja keras untuk mendapatkan makanannya. Ciri khas ras ini adalah pembawaan kepala yang angkuh. Warna bulu berkisar dari coklat kekuningan hingga mahoni. Telinga dan topeng hitamnya menonjolkan mata yang cerah dan bertanya-tanya, warna coklat tua Belgia. Jika Anda pernah melihat Mal melakukan rutinitas kepatuhan, Anda pasti tahu betapa cerdas dan bersemangatnya ras ini. Namun, masalah muncul ketika anjing yang berorientasi pada manusia ini menjadi setengah pengangguran dan terabaikan. Berolahraga, dan banyak berolahraga, sebaiknya dilakukan bersamaan dengan pemilik kesayangannya, adalah kunci kebahagiaan Mal. Malinois Belgia yang cerdas, percaya diri, dan serba bisa adalah pekerja kelas dunia yang menjalin ikatan tak terpatahkan dengan pasangan manusianya. Menolak aktivitas Mal dan kesenangan bersama Anda berarti menghilangkan alasan keberadaannya.","Percaya diri, Cerdas, Pekerja keras",43,55.88,66.04,18.1436948,36.2873896,14.0,16.0,Herding Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,0.8,Pelatihan Mudah,0.4,Dicadangkan dengan Orang Asing
Belgian Sheepdog,"Siluet Anjing Gembala Belgia yang menawan menunjukkan keanggunan dan keteguhan otot. Ciri yang menarik dari trah ini adalah pembawaan kepala dan leher yang sangat membanggakan. Laki-laki mungkin berdiri 26 inci di bahu; betina lebih kecil. Mata gelapnya berkilau dengan kecerdasan yang mempertanyakan, dan mantel hitamnya melimpah, dari “kerah” leher hingga “celana” di bagian belakang. Dalam segala hal, Anjing Gembala Belgia bermata cerah dan berekor lebat. Dalam olahraga atau aktivitas apa pun, anjing Belgia akan selalu memberikan yang terbaik. Pada gilirannya, pemilik cenderung membentuk ikatan khusus dengan para pecandu kerja yang bersemangat. Seperti yang diungkapkan oleh seorang penganut setianya, orang-orang Belgia “mengilhami kesetiaan yang kuat karena mereka sendiri hidup dan mencintai dengan penuh gairah.” Anjing Gembala Belgia adalah penggembala yang sangat terlatih, yang keserbagunaan dan kecerdasannya merupakan legenda anjing. Ini adalah ras yang dibangun untuk kerja keras, dan banyak lagi. Jiwa-jiwa sensitif ini mendambakan persahabatan manusia dan membenci pengabaian.","Cerah, Waspada, Berpikiran Serius",125,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.8,Energik,0.8,Pelatihan Mudah,0.4,Dicadangkan dengan Orang Asing
Belgian Tervuren,"Tervuren Belgia dicirikan oleh bulu yang lurus dan lebat, tubuh yang elegan namun berotot, kepala yang gagah, sikap waspada dan cerdas, serta semangat kerja yang tak pernah terpuaskan. Perabotan mantel Tervuren, seperti “collarette” yang sporty di leher, lebih banyak dikenakan pada jantan, yang berukuran lebih besar daripada betina. “Kecerdasan dan tingkat aktivitas mereka yang tinggi dapat menjadi tantangan bagi individu yang kurang kreatif yang mungkin tidak memahami kebutuhan ras tersebut. untuk bekerja,” salah satu pemilik lama memperingatkan. Namun jangan mengira bahwa Tervuren adalah drone pekerja mekanik yang suram. Faktanya, ras ini sangat senang dengan kemampuan mereka untuk menguasai tugas apa pun, dan pemiliknya mengatakan selera humor yang nakal muncul setiap kali Tervuren mengakali manusia kesayangannya. Tervuren Belgia yang anggun dan lincah adalah anjing penggembala berukuran sedang yang cerdas dan percaya diri, dikenal penuh kasih sayang dan posesif terhadap orang yang dicintai. Banyak kerja keras dan permainan yang menantang adalah surga bagi anjing yang tak kenal lelah dan suka melakukan segalanya ini.","Berani, Waspada, Cerdas",106,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.8,Energik,0.8,Pelatihan Mudah,0.4,Dicadangkan dengan Orang Asing
